# cluster_id frame_index natoms formula center_formula selected_molecule_ids
051 51 86 H57O29 H2O 1,3,8,11,12,25,27,28,29,30,32,35,36,42,47,48,54,56,61,62,65,74,75,76
052 52 83 H55O28 H2O 4,8,9,11,12,13,25,28,29,30,31,33,41,49,50,56,58,61,65,70,75,77
053 53 86 H57O29 H2O 4,9,10,13,14,15,20,28,29,33,34,36,45,48,50,52,53,54,62,64,69,73,79,82,84,86
054 54 84 H56O28 H2O 4,9,10,13,15,18,26,27,30,31,32,34,35,44,46,48,49,57,62,63,66,70,75,76,77
055 55 83 H55O28 H2O 4,9,10,13,14,15,20,29,30,33,34,35,37,39,45,52,54,55,63,65,69,70,74,81,86,88
056 56 80 H53O27 H2O 4,9,10,13,14,19,28,29,31,32,33,35,48,50,51,58,62,63,66,70,75,77
057 57 90 H60O30 H2O 4,9,10,12,13,14,19,28,29,30,32,33,35,36,50,51,52,58,63,64,69,77,78
058 58 72 H48O24 H2O 4,7,9,10,12,13,14,19,31,32,33,47,50,51,52,58,64,65,68,70,76,78,79
059 59 81 H54O27 H2O 4,7,9,10,13,14,15,18,29,31,32,33,43,47,48,54,59,60,64,65,72,74,75
060 60 90 H60O30 H2O 1,4,9,10,13,14,15,16,21,29,30,32,33,34,35,43,48,50,52,53,54,61,67,68,71,73,81,82,84
061 61 93 H62O31 H2O 1,4,7,9,12,13,14,15,20,30,33,34,35,36,37,49,51,53,54,60,66,67,71,79,81,82,84
062 62 72 H48O24 H2O 1,4,9,15,33,39,42,43,44,50,51,52,59,61,64,65,68,69,78
063 63 96 H64O32 H4O2 0,9,10,13,14,15,21,31,33,34,35,37,40,45,46,55,56,62,68,69,73,75,79,85,86
064 64 87 H58O29 H4O2 0,9,10,13,14,15,22,35,36,37,39,42,48,49,55,57,58,66,70,73,74,77,82,83,84
065 65 78 H52O26 H2O 1,4,8,9,10,14,15,16,21,30,31,34,36,50,52,55,56,67,68,71,72,73,77,79
066 66 90 H60O30 H2O 1,4,7,8,9,12,13,14,15,17,20,29,31,33,46,48,49,50,51,59,66,67,71,72,73,77,81
067 67 87 H58O29 H4O2 1,4,9,10,13,14,15,16,18,21,30,31,34,36,42,43,51,56,57,58,63,64,67,68,72,79,81
068 68 90 H60O30 H2O 4,6,8,9,10,13,14,15,16,18,28,29,32,34,36,39,50,52,53,54,61,66,67,71,72,78,81
069 69 90 H60O30 H2O 1,4,8,9,10,14,15,16,18,21,30,31,34,35,36,38,41,47,52,54,56,57,58,65,67,72,73,84
070 70 90 H60O30 H2O 1,4,8,9,10,13,14,15,17,20,31,34,35,36,40,42,46,48,50,53,54,55,62,64,68,71,72,80,83
071 71 84 H56O28 H2O 1,4,8,9,10,14,15,16,18,20,31,34,36,42,45,48,50,52,54,55,62,68,71,72,82
072 72 78 H52O26 H2O 1,4,8,9,10,15,16,20,29,30,32,33,34,39,41,50,52,54,55,60,66,69,77,80
073 73 87 H58O29 H2O 4,9,10,13,15,18,19,24,28,33,35,41,45,47,50,53,64,67,68,72,76,79,80,81
074 74 96 H64O32 H2O 0,4,9,10,13,14,15,17,20,24,28,33,41,46,50,53,61,63,65,66,77,78
075 75 69 H46O23 H2O 4,9,10,13,15,18,24,28,32,34,40,43,46,49,51,56,60,64,66,76,79,80
076 76 87 H58O29 H2O 0,4,9,10,13,15,18,21,24,29,31,34,35,36,43,47,49,51,55,58,59,65,71,72,75,88
077 77 93 H62O31 H4O2 4,6,9,10,13,14,15,16,18,22,25,30,34,35,36,46,53,54,55,58,62,64,68,77,78
078 78 84 H56O28 H2O 4,6,9,10,14,15,16,18,27,33,34,35,46,50,53,55,56,57,63,69,71,72,73,82
079 79 105 H70O35 H2O 1,4,7,8,9,13,14,15,17,20,26,29,31,32,33,46,48,50,51,52,60,66,70,71,72,82
080 80 84 H56O28 H2O 1,4,8,9,10,15,16,18,21,27,32,33,34,37,43,49,50,54,59,60,63,64,68,76
081 81 84 H56O28 H2O 1,4,8,9,13,15,17,29,31,32,33,43,46,49,51,60,65,68,69,70,75,79
082 82 81 H54O27 H2O 4,6,9,14,17,28,30,31,32,34,39,44,47,51,53,54,64,65,68,77,78,82,83
083 83 84 H56O28 H2O 4,9,10,14,16,18,25,29,32,33,34,44,48,51,53,54,55,62,67,68,71,72,73,76,83,84
084 84 93 H62O31 H2O 4,6,8,9,13,14,15,20,25,29,32,33,34,43,47,49,50,51,57,59,62,63,67,68,70,72,77
085 85 93 H62O31 H2O 4,6,9,15,18,22,25,30,32,34,35,37,44,48,51,58,66,68,69,71,73,76,77,83,84,85,87,89
086 86 93 H62O31 H2O 4,8,9,10,14,15,25,28,31,33,37,38,43,46,50,52,53,54,61,66,70,72,75,77,80
087 87 78 H52O26 H2O 4,9,10,15,16,21,25,31,32,33,35,36,41,45,47,48,56,61,62,65,69,70,73,76
088 88 75 H50O25 H2O 4,9,10,14,15,16,18,20,31,32,33,43,47,53,54,62,66,67,70,75,79
089 89 78 H52O26 H2O 4,8,9,10,13,14,18,19,25,26,29,30,31,37,41,44,49,50,59,66,67,71,72,76
090 90 87 H58O29 H2O 4,8,9,10,13,14,15,20,26,28,31,32,33,39,45,49,51,52,61,68,69,72,73,74,79,85
091 91 84 H56O28 H2O 4,6,13,16,19,22,25,27,29,30,31,35,41,55,58,60,61,64,71,72
092 92 111 H74O37 H6O3 4,6,9,10,12,14,23,26,32,36,38,42,46,48,50,52,58,59,60,61,65,66,68,70,73,75,76,77,78,79
093 93 84 H56O28 H4O2 1,4,5,9,14,15,17,20,31,33,34,35,36,42,45,49,51,52,53,60,65,66,69
094 94 87 H58O29 H2O 1,4,6,9,10,14,16,18,21,27,31,34,35,36,43,47,53,54,62,68,72,73,77,81,83
095 95 66 H44O22 H2O 4,9,10,14,15,16,20,21,30,31,35,39,43,48,49,63,64,67
096 96 84 H56O28 H2O 4,9,10,14,15,16,18,21,22,28,31,34,40,42,46,52,53,61,67,68,72,73,74,78,84
097 97 81 H54O27 H2O 4,6,9,10,14,15,18,21,22,25,30,32,34,35,41,45,49,56,62,64,67,74,75,79
098 98 78 H52O26 H2O 4,5,6,9,10,14,15,18,21,22,25,30,32,35,36,42,46,50,64,67,70,74,80,83,84,88
099 99 87 H58O29 H2O 4,5,9,10,14,15,18,21,22,25,29,31,32,33,35,40,42,49,51,61,63,67,68,71,76,80,83
100 100 96 H64O32 H2O 4,5,6,9,10,14,15,18,21,22,29,30,34,39,41,44,61,64,65,66,68,70,77,81
