frame,stem,input,slurm,charge,multiplicity,n_atoms
165,r09_hot_w_isolatedH_bluehive_165,expand/r09_hot_w_isolatedH_bluehive_165.inp,expand/r09_hot_w_isolatedH_bluehive_165.slurm,1,1,28
166,r09_hot_w_isolatedH_bluehive_166,expand/r09_hot_w_isolatedH_bluehive_166.inp,expand/r09_hot_w_isolatedH_bluehive_166.slurm,1,1,31
167,r09_hot_w_isolatedH_bluehive_167,expand/r09_hot_w_isolatedH_bluehive_167.inp,expand/r09_hot_w_isolatedH_bluehive_167.slurm,1,1,37
168,r09_hot_w_isolatedH_bluehive_168,expand/r09_hot_w_isolatedH_bluehive_168.inp,expand/r09_hot_w_isolatedH_bluehive_168.slurm,1,1,40
169,r09_hot_w_isolatedH_bluehive_169,expand/r09_hot_w_isolatedH_bluehive_169.inp,expand/r09_hot_w_isolatedH_bluehive_169.slurm,1,1,40
170,r09_hot_w_isolatedH_bluehive_170,expand/r09_hot_w_isolatedH_bluehive_170.inp,expand/r09_hot_w_isolatedH_bluehive_170.slurm,1,1,37
171,r09_hot_w_isolatedH_bluehive_171,expand/r09_hot_w_isolatedH_bluehive_171.inp,expand/r09_hot_w_isolatedH_bluehive_171.slurm,1,1,37
172,r09_hot_w_isolatedH_bluehive_172,expand/r09_hot_w_isolatedH_bluehive_172.inp,expand/r09_hot_w_isolatedH_bluehive_172.slurm,0,1,42
173,r09_hot_w_isolatedH_bluehive_173,expand/r09_hot_w_isolatedH_bluehive_173.inp,expand/r09_hot_w_isolatedH_bluehive_173.slurm,1,1,31
174,r09_hot_w_isolatedH_bluehive_174,expand/r09_hot_w_isolatedH_bluehive_174.inp,expand/r09_hot_w_isolatedH_bluehive_174.slurm,0,1,39
175,r09_hot_w_isolatedH_bluehive_175,expand/r09_hot_w_isolatedH_bluehive_175.inp,expand/r09_hot_w_isolatedH_bluehive_175.slurm,0,1,30
176,r09_hot_w_isolatedH_bluehive_176,expand/r09_hot_w_isolatedH_bluehive_176.inp,expand/r09_hot_w_isolatedH_bluehive_176.slurm,0,1,36
177,r09_hot_w_isolatedH_bluehive_177,expand/r09_hot_w_isolatedH_bluehive_177.inp,expand/r09_hot_w_isolatedH_bluehive_177.slurm,1,1,49
178,r09_hot_w_isolatedH_bluehive_178,expand/r09_hot_w_isolatedH_bluehive_178.inp,expand/r09_hot_w_isolatedH_bluehive_178.slurm,1,1,37
179,r09_hot_w_isolatedH_bluehive_179,expand/r09_hot_w_isolatedH_bluehive_179.inp,expand/r09_hot_w_isolatedH_bluehive_179.slurm,-1,1,35
