model,subset,n,mae_e,rmse_e,bias_e,r2
polar1m,all,2227.0,0.04749744056933849,0.06430647112800227,-3.2302239623160154e-09,0.911425683616374
polar1m,H,63.0,0.06109205190992064,0.07386905133515222,0.03964401911979365,-0.10935463956247382
polar1m,H2,8.0,0.030765777322049992,0.032334258458690805,-0.0032799728024000075,0.6951911755322894
polar1m,H2O,1940.0,0.03960145484501858,0.05105396571296498,-0.0008093187949090741,0.7148229377615325
polar1m,H3O,117.0,0.10055266533366204,0.11647462011252672,0.07897707121483641,0.17028537619695994
polar1m,HO,99.0,0.13222616581455476,0.1495226284467419,-0.10244019682675577,0.49993644048901775
polar1s,all,2227.0,0.041016545441164676,0.06398387366334841,-3.3506585262055546e-09,0.9123121318427984
polar1s,H,63.0,0.16504838611760003,0.18296942159930976,-0.16389963941106034,-5.806163711774122
polar1s,H2,8.0,0.13961994413232376,0.14706799751328173,-0.13961994413232376,-5.3057693795619025
polar1s,H2O,1940.0,0.027232831528140797,0.037511728062441456,0.008893101564596212,0.8460464283488293
polar1s,H3O,117.0,0.13104661154555128,0.14269218238061007,-0.13026890384285042,-0.24527852828065866
polar1s,HO,99.0,0.11782517276347171,0.13192384274402927,0.09526741503369394,0.6107237136209756
