model,subset,n,mae_e,rmse_e,bias_e,r2
polar1m,all,6565.0,0.4792195459647325,0.520724169853859,-1.0957667571143433e-09,0.07155208948205705
polar1m,H,4409.0,0.35753846301466596,0.3627346464265204,-0.3560193338672069,-62.18290473940565
polar1m,O,2156.0,0.7280562318306152,0.7460481329477949,0.7280562318306152,-65.90251942623686
polar1s,all,6565.0,0.21473674125306186,0.23290303612315047,-1.1366209500548924e-09,0.8142655899569695
polar1s,H,4409.0,0.15989325425266493,0.16451157574698477,-0.1598497064613899,-11.996141597445341
polar1s,O,2156.0,0.3268911634166751,0.3314003514193277,0.3268911634166751,-12.201239382659557
