model,frame,atom_index,symbol,x_A,y_A,z_A,formal_charge_e,dft_raw_iao_charge_e,dft_iao_charge_e,mlip_predicted_charge_e,error_e,abs_error_e
polar1m,1,5,O,14.10762601,9.21764874,9.35969156,-2.0,1.24351,-0.7564900000000001,-0.0466261990368,0.7098638009632001,0.7098638009632001
polar1m,1,6,O,10.87723433,11.37470378,13.2649456,-2.0,1.316423,-0.6835770000000001,0.0183609500527,0.7019379500527001,0.7019379500527001
polar1m,1,7,H,15.73542402,16.10180106,10.18615888,1.0,0.407482,0.407482,0.0237209852785,-0.38376101472150004,0.38376101472150004
polar1m,1,8,O,9.86491405,11.3141633,10.34519469,-2.0,1.231715,-0.7682850000000001,-0.0401855483651,0.7280994516349001,0.7280994516349001
polar1m,1,9,H,11.2773047,11.84240799,9.78350125,1.0,0.436973,0.436973,0.0295058041811,-0.4074671958189,0.4074671958189
polar1m,1,10,H,11.60808398,9.44937698,13.16112257,1.0,0.320287,0.320287,0.0181812569499,-0.30210574305009996,0.30210574305009996
polar1m,1,11,O,9.32684714,13.05902747,11.93511842,-2.0,1.225836,-0.7741640000000001,-0.0279228240252,0.7462411759748001,0.7462411759748001
polar1m,1,12,O,14.76164752,16.15377454,9.94402852,-2.0,1.248765,-0.7512350000000001,-0.0233522579074,0.7278827420926001,0.7278827420926001
polar1m,1,13,O,11.4649758,9.2146311,14.17450228,-2.0,1.194059,-0.805941,-0.0738755464554,0.7320654535446001,0.7320654535446001
polar1m,1,14,H,14.79270241,15.2967571,9.51497499,1.0,0.406815,0.406815,0.0211253091693,-0.3856896908307,0.3856896908307
polar1m,1,15,H,11.59169993,7.06201116,13.63484854,1.0,0.344411,0.344411,0.0132896080613,-0.33112139193870005,0.33112139193870005
polar1m,1,16,H,14.59294819,12.87223922,13.77269182,1.0,0.431736,0.431736,0.0259028673172,-0.4058331326828,0.4058331326828
polar1m,1,17,H,10.69552378,12.2905243,13.35617157,1.0,0.397977,0.397977,0.0184815041721,-0.37949549582790004,0.37949549582790004
polar1m,1,18,H,12.18584946,9.55472978,10.41376318,1.0,0.375533,0.375533,0.0230490751565,-0.3524839248435,0.3524839248435
polar1m,1,19,O,13.21295014,9.09534033,12.16698153,-2.0,1.229442,-0.7705580000000001,-0.0266098380089,0.7439481619911,0.7439481619911
polar1m,1,20,H,14.93163633,9.8014365,9.30715948,1.0,0.387637,0.387637,0.0150813516229,-0.37255564837710003,0.37255564837710003
polar1m,1,21,H,13.33345359,9.88939445,12.64924508,1.0,0.387465,0.387465,0.0150794386864,-0.3723855613136,0.3723855613136
polar1m,1,22,O,14.10858481,15.26357454,12.17476066,-2.0,1.163959,-0.836041,-0.0586576797068,0.7773833202932,0.7773833202932
polar1m,1,23,H,13.64449427,15.99052871,12.4367023,1.0,0.442542,0.442542,0.0181859619915,-0.42435603800849997,0.42435603800849997
polar1m,1,24,O,14.16172655,13.6240473,10.48129845,-2.0,1.242225,-0.7577750000000001,-0.0447622016072,0.7130127983928001,0.7130127983928001
polar1m,1,25,H,12.68137763,12.70109291,10.50764164,1.0,0.384687,0.384687,0.0193622596562,-0.3653247403438,0.3653247403438
polar1m,1,26,H,13.66716017,14.80844322,11.35168525,1.0,0.352715,0.352715,0.0234365016222,-0.3292784983778,0.3292784983778
polar1m,1,27,H,10.07887928,10.85218739,11.10332921,1.0,0.412568,0.412568,0.0201855935156,-0.3923824064844,0.3923824064844
polar1m,1,28,H,11.37486651,10.89350269,14.01281451,1.0,0.396835,0.396835,0.0274376757443,-0.3693973242557,0.3693973242557
polar1m,1,29,H,13.05848806,12.24298307,13.57337051,1.0,0.378086,0.378086,0.0198962874711,-0.3581897125289,0.3581897125289
polar1m,1,30,O,13.86084482,12.5921623,13.09415004,-2.0,1.265726,-0.7342740000000001,-0.0149282440543,0.7193457559457,0.7193457559457
polar1m,1,31,O,12.3231702,6.83507582,14.16173585,-2.0,0.971498,-1.028502,-0.849083065987,0.17941893401300002,0.17941893401300002
polar1m,1,32,H,12.0,12.0,12.0,1.0,0.349708,0.349708,0.247672811151,-0.10203518884900001,0.10203518884900001
polar1m,1,33,H,13.57074473,9.61560452,10.25382214,1.0,0.322579,0.322579,0.0192778222263,-0.3033011777737,0.3033011777737
polar1m,1,34,H,11.8173039,8.29891329,14.30091622,1.0,0.369392,0.369392,0.0124470964074,-0.3569449035926,0.3569449035926
polar1m,1,35,H,11.83651308,8.95779863,8.82406758,1.0,0.391308,0.391308,0.0298648960888,-0.3614431039112,0.3614431039112
polar1m,1,36,H,14.38750247,14.54766011,10.52496611,1.0,0.379277,0.379277,0.0311354994774,-0.34814150052259996,0.34814150052259996
polar1m,1,37,H,9.87635078,13.76604825,11.99907315,1.0,0.427917,0.427917,0.0131494812667,-0.4147675187333,0.4147675187333
polar1m,1,38,H,12.90831024,8.46548742,12.83895778,1.0,0.391787,0.391787,0.0265749581158,-0.3652120418842,0.3652120418842
polar1m,2,0,H,8.96436669,12.94400932,12.75648162,1.0,0.446883,0.446883,0.0227277465165,-0.42415525348349997,0.42415525348349997
polar1m,2,1,O,11.83746161,12.15315833,10.51791379,-2.0,1.355765,-0.6442349999999999,0.352416932583,0.9966519325829999,0.9966519325829999
polar1m,2,2,H,10.05383791,10.84523126,9.60234736,1.0,0.391882,0.391882,0.0204317234457,-0.3714502765543,0.3714502765543
polar1m,2,3,H,14.01741449,13.51968023,11.44155345,1.0,0.369447,0.369447,0.0195348002017,-0.3499121997983,0.3499121997983
polar1m,2,4,O,11.52337375,9.77044,9.55872192,-2.0,1.192397,-0.8076030000000001,-0.0332578346133,0.7743451653867001,0.7743451653867001
polar1m,2,5,O,14.01156364,9.25836812,9.36461645,-2.0,1.256589,-0.743411,-0.0408446826041,0.7025663173959,0.7025663173959
polar1m,2,6,O,10.80660368,11.49372957,13.31831367,-2.0,1.318633,-0.6813670000000001,0.0212378278375,0.7026048278375001,0.7026048278375001
polar1m,2,7,H,15.61627879,16.27891127,10.14159963,1.0,0.450116,0.450116,0.0250556878746,-0.4250603121254,0.4250603121254
polar1m,2,8,O,9.78409274,11.37568541,10.34457889,-2.0,1.215108,-0.7848919999999999,-0.050740275532,0.7341517244679999,0.7341517244679999
polar1m,2,9,H,11.28753613,12.07347938,9.69751136,1.0,0.455631,0.455631,0.0299710743129,-0.4256599256871,0.4256599256871
polar1m,2,10,H,11.49029358,9.56016679,13.23515509,1.0,0.334906,0.334906,0.0175439938903,-0.3173620061097,0.3173620061097
polar1m,2,11,O,9.30050799,13.10452572,11.97063193,-2.0,1.188657,-0.8113429999999999,-0.0224226564169,0.7889203435830999,0.7889203435830999
polar1m,2,12,O,14.71778475,16.23188424,9.97894398,-2.0,1.238883,-0.761117,-0.0170719772577,0.7440450227423,0.7440450227423
polar1m,2,13,O,11.42381794,9.2932028,14.17776646,-2.0,1.165687,-0.8343130000000001,-0.0924567207694,0.7418562792306,0.7418562792306
polar1m,2,14,H,14.76169969,15.40673678,9.36599571,1.0,0.395494,0.395494,0.0261162426323,-0.3693777573677,0.3693777573677
polar1m,2,15,H,11.46939604,7.02791872,13.51852911,1.0,0.304362,0.304362,0.0156930312514,-0.28866896874860004,0.28866896874860004
polar1m,2,16,O,15.96176593,13.95500436,12.89440952,-2.0,1.095255,-0.9047449999999999,-0.096723601222,0.8080213987779999,0.8080213987779999
polar1m,2,17,H,14.39871659,12.87593726,13.92359635,1.0,0.422423,0.422423,0.0282479599118,-0.3941750400882,0.3941750400882
polar1m,2,18,H,10.47620639,12.46423249,13.38061526,1.0,0.379863,0.379863,0.022118486464,-0.357744513536,0.357744513536
