model,frame,instance_index,local_frame,molecule_index,species,n_atoms,atom_indices,oxygen_atom_index,hydrogen_atom_indices,molecule_track_id,formula_symbols,formal_charge_sum_e,dft_raw_iao_charge_sum_e,dft_iao_charge_e,mlip_predicted_charge_e,error_e,abs_error_e,centroid_x_A,centroid_y_A,centroid_z_A
polar1s,2,0,2,3,H2O,3,27 3 39,27,3 39,O:27,O H H,0.0,1.958255,-0.04174500000000003,-0.03365147113799999,0.008093528862000043,0.008093528862000043,14.146461763333335,13.991313020000002,10.800257173333334
polar1s,2,0,2,4,H2O,3,4 19 38,4,19 38,O:4,O H H,0.0,2.011387,0.011386999999999925,0.021853566170000033,0.010466566170000108,0.010466566170000108,11.809248363333333,9.559499703333335,9.617700483333335
polar1s,2,0,2,5,H2O,3,5 21 36,5,21 36,O:5,O H H,0.0,1.968659,-0.03134100000000001,-0.023871481418999974,0.007469518581000034,0.007469518581000034,14.097710919999999,9.63941706,9.67389284
polar1s,2,0,2,6,H2O,3,6 18 31,6,18 31,O:6,O H H,0.0,2.126353,0.12635299999999994,0.06850649416400001,-0.05784650583599993,0.05784650583599993,10.79575443,11.628627053333332,13.56039614
polar1s,2,0,2,7,H2O,3,12 7 14,12,7 14,O:12,O H H,0.0,2.084493,0.08449299999999998,0.09443975984999997,0.009946759849999987,0.009946759849999987,15.031921076666668,15.972510763333332,9.82884644
polar1s,2,0,2,8,H2O,3,13 10 37,13,10 37,O:13,O H H,0.0,1.865414,-0.1345860000000001,-0.10927809774799999,0.02530790225200011,0.02530790225200011,11.531917616666666,9.05665681,13.91551029
polar1s,2,0,2,9,HO,2,34 15,34,15,O:34,O H,-1.0,1.3472950000000001,-0.6527049999999999,-0.530592545867,0.12211245413299987,0.12211245413299987,11.847741764999999,6.989013034999999,13.8507332
polar1s,2,0,2,10,H2O,3,16 22 23,16,22 23,O:16,O H H,0.0,1.876774,-0.12322599999999995,-0.146119698882,-0.022893698882000046,0.022893698882000046,15.649920973333332,13.882702516666669,12.770680740000001
polar1s,2,0,2,11,H2O,3,33 17 32,33,17 32,O:33,O H H,0.0,2.032645,0.032645000000000035,0.08179542422299999,0.04915042422299995,0.04915042422299995,13.725560363333335,12.636324496666667,13.485931203333331
polar1s,2,0,2,12,H2O,3,20 24 41,20,24 41,O:20,O H H,0.0,1.999784,-0.000216000000000105,0.037202849985000036,0.03741884998500014,0.03741884998500014,13.010782553333334,9.244884933333333,12.54846741
polar1s,2,0,2,13,H2O,3,25 26 29,25,26 29,O:25,O H H,0.0,2.112575,0.11257500000000009,0.15658532082999999,0.044010320829999894,0.044010320829999894,13.692680826666665,15.42934188,12.066515936666667
polar1s,3,0,3,0,H2O,3,10 0 49,10,0 49,O:10,O H H,0.0,1.980307,-0.019693000000000016,-0.056559130549,-0.03686613054899998,0.03686613054899998,9.350724123333334,13.448203990000001,12.329851179999999
polar1s,3,0,3,1,H2O,3,1 8 30,1,8 30,O:1,O H H,0.0,2.2209960000000004,0.22099600000000008,0.15150170028200002,-0.06949429971800006,0.06949429971800006,11.784678523333334,12.58073169,10.304418873333333
polar1s,3,0,3,2,H2O,3,7 2 35,7,2 35,O:7,O H H,0.0,2.0134999999999996,0.013499999999999901,-0.0014518201350000315,-0.014951820134999932,0.014951820134999932,9.97377537,11.098731623333334,10.399900886666666
polar1s,3,0,3,3,H2O,3,27 3 48,27,3 48,O:27,O H H,0.0,2.065286,0.0652859999999999,0.066468328238,0.0011823282380001021,0.0011823282380001021,14.159130450000001,14.114445823333334,10.806888626666668
polar1s,3,0,3,4,H2O,3,4 18 46,4,18 46,O:4,O H H,0.0,2.020353,0.02035300000000001,0.03743942081900001,0.017086420818999998,0.017086420818999998,11.777834286666666,9.680161083333333,9.579251256666666
polar1s,3,0,3,5,H2O,3,5 17 37,5,17 37,O:5,O H H,0.0,2.086721,0.08672099999999999,0.05182747542799998,-0.03489352457200001,0.03489352457200001,10.660274846666667,11.708728166666667,13.663559193333334
polar1s,3,0,3,6,H2O,3,36 6 12,36,6 12,O:36,O H H,0.0,1.9628510000000001,-0.03714899999999988,-0.012395530939999955,0.024753469059999922,0.024753469059999922,7.319293253333334,14.40635973,13.76047403
polar1s,3,0,3,7,H2O,3,11 9 45,11,9 45,O:11,O H H,0.0,1.846484,-0.15351599999999999,-0.17080479860300002,-0.017288798603000033,0.017288798603000033,11.46089653,9.10505543,13.999788883333332
polar1s,3,0,3,8,H2O,3,32 13 44,32,13 44,O:32,O H H,0.0,2.1594160000000002,0.159416,0.20610880851700003,0.04669280851700003,0.04669280851700003,16.45910924,13.676291820000001,9.641359623333335
polar1s,3,0,3,9,HO,2,41 14,41,14,O:41,O H,-1.0,1.405185,-0.594815,-0.46088394522700005,0.13393105477299994,0.13393105477299994,11.793843515,7.023138705,13.8668911
polar1s,3,0,3,10,H2O,3,15 21 22,15,21 22,O:15,O H H,0.0,1.8423249999999998,-0.15767500000000012,-0.18444058299100002,-0.026765582990999903,0.026765582990999903,15.579713060000001,13.934855663333332,12.692502093333333
polar1s,3,0,3,11,H2O,3,40 16 39,40,16 39,O:40,O H H,0.0,2.049473,0.049473000000000045,0.08887083828499998,0.03939783828499993,0.03939783828499993,13.634024413333334,12.730764356666668,13.513022023333333
polar1s,3,0,3,12,H2O,3,19 23 50,19,23 50,O:19,O H H,0.0,1.961707,-0.03829300000000008,-0.025320008396999993,0.012972991603000084,0.012972991603000084,12.920529029999999,9.343011423333332,12.577288519999998
polar1s,3,0,3,13,H2O,3,33 20 28,33,20 28,O:33,O H H,0.0,2.195976,0.19597599999999998,0.256667971611,0.06069197161100004,0.06069197161100004,10.776168376666666,15.251466413333333,12.932322246666667
polar1s,3,0,3,14,H2O,3,24 26 34,24,26 34,O:24,O H H,0.0,2.090877,0.09087700000000004,0.164381995798,0.07350499579799996,0.07350499579799996,13.52638273,15.50650436,12.122037343333332
polar1s,3,0,3,15,H2O,3,38 25 47,38,25 47,O:38,O H H,0.0,1.817234,-0.1827660000000001,-0.20727887749600002,-0.024512877495999924,0.024512877495999924,15.51227935,11.994456243333333,10.803079639999998
polar1s,3,0,3,16,H2O,3,29 31 43,29,31 43,O:29,O H H,0.0,1.882687,-0.11731300000000006,-0.08956146240299998,0.02775153759700008,0.02775153759700008,9.574342516666666,13.998574983333333,9.970972963333333
polar1s,3,0,3,17,H,1,42,,42,H:42,H,1.0,0.398622,0.398622,0.185429543257,-0.21319245674299997,0.21319245674299997,12.0,12.0,12.0
polar1s,4,0,4,0,H2O,3,11 0 51,11,0 51,O:11,O H H,0.0,1.972486,-0.027513999999999927,-0.06896810233700001,-0.04145410233700009,0.04145410233700009,9.33057874,13.521449683333332,12.436372526666668
polar1s,4,0,4,1,H2O,3,1 9 31,1,9 31,O:1,O H H,0.0,2.228208,0.22820800000000008,0.165461063386,-0.06274693661400008,0.06274693661400008,11.736266233333334,12.774213903333333,10.310014833333334
polar1s,4,0,4,2,H2O,3,8 2 36,8,2 36,O:8,O H H,0.0,1.9841199999999999,-0.01588000000000006,-0.03837183117900003,-0.02249183117899997,0.02249183117899997,9.932350873333334,11.16494548,10.396038753333334
polar1s,4,0,4,3,H2O,3,28 3 50,28,3 50,O:28,O H H,0.0,1.917238,-0.08276199999999995,-0.07564547658000001,0.007116523419999937,0.007116523419999937,14.187750513333333,14.237112913333334,10.842395796666667
polar1s,4,0,4,4,H2O,3,4 21 48,4,21 48,O:4,O H H,0.0,1.92619,-0.07380999999999993,-0.08116266131300001,-0.007352661313000081,0.007352661313000081,11.77831537,9.79348349,9.550289063333333
polar1s,4,0,4,5,H2O,3,5 20 39,5,20 39,O:5,O H H,0.0,2.065394,0.06539399999999995,0.067685633898,0.0022916338980000506,0.0022916338980000506,10.540519543333334,11.802592003333332,13.790397096666666
polar1s,4,0,4,6,H2O,3,37 6 14,37,6 14,O:37,O H H,0.0,1.9459440000000001,-0.05405599999999994,-0.031487286089999955,0.022568713909999982,0.022568713909999982,7.30883163,14.472992493333331,13.768582546666666
polar1s,4,0,4,7,H2O,3,12 7 16,12,7 16,O:12,O H H,0.0,2.145528,0.14552799999999994,0.17047020793,0.02494220793000007,0.02494220793000007,15.018134646666667,16.403289909999998,9.834559413333333
polar1s,4,0,4,8,HO,2,13 10,13,10,O:13,O H,-1.0,1.4644400000000002,-0.5355599999999999,-0.33926929533500005,0.19629070466499987,0.19629070466499987,11.33161005,9.594691095,13.782237325
polar1s,4,0,4,9,H2O,3,15 27 35,15,27 35,O:15,O H H,0.0,1.961588,-0.03841199999999989,-0.013726159929999981,0.02468584006999991,0.02468584006999991,8.97650694,10.335659703333334,12.29813148
polar1s,4,0,4,10,H2O,3,33 17 46,33,17 46,O:33,O H H,0.0,2.11495,0.11495,0.169305801391,0.05435580139099999,0.05435580139099999,16.437281863333336,13.856287173333333,9.670975696666666
polar1s,4,0,4,11,H2O,3,43 18 47,43,18 47,O:43,O H H,0.0,1.802165,-0.19783499999999998,-0.2866963297128,-0.08886132971280003,0.08886132971280003,11.71243696,7.47515393,14.12240557
polar1s,4,0,4,12,H2O,3,42 19 41,42,19 41,O:42,O H H,0.0,2.051497,0.05149699999999996,0.06079374253799999,0.00929674253800003,0.00929674253800003,13.564065829999999,12.842204736666666,13.543217040000002
polar1s,4,0,4,13,H2O,3,22 25 52,22,25 52,O:22,O H H,0.0,1.964307,-0.03569299999999992,-0.027219429611999968,0.008473570387999951,0.008473570387999951,12.87020998,9.414694626666668,12.575772856666667
polar1s,4,0,4,14,H2O,3,34 23 29,34,23 29,O:34,O H H,0.0,2.2022370000000002,0.2022370000000001,0.254712790251,0.05247579025099991,0.05247579025099991,10.76395884,15.356603306666665,12.920881956666667
polar1s,4,0,4,15,H2O,3,24 38 53,24,38 53,O:24,O H H,0.0,2.1306879999999997,0.13068799999999997,0.17325153946900002,0.042563539469000045,0.042563539469000045,12.90482551,8.302061959999998,7.7413368799999995
polar1s,4,0,4,16,H2O,3,40 26 49,40,26 49,O:40,O H H,0.0,1.817132,-0.18286799999999998,-0.201162263752,-0.018294263752000023,0.018294263752000023,15.47346246,12.043584743333332,10.834946960000002
polar1s,4,0,4,17,H2O,3,30 32 45,30,32 45,O:30,O H H,0.0,1.877182,-0.1228180000000001,-0.09807419777000001,0.024743802230000084,0.024743802230000084,9.579445609999999,14.023969653333333,9.99992705
polar1s,4,0,4,18,H,1,44,,44,H:44,H,1.0,0.428701,0.428701,0.200102418661,-0.228598581339,0.228598581339,12.0,12.0,12.0
polar1s,5,0,5,0,H2O,3,10 0 39,10,0 39,O:10,O H H,0.0,1.9420439999999999,-0.05795600000000012,-0.04394593834900001,0.014010061651000105,0.014010061651000105,9.321813663333334,13.52960196,12.487375486666666
polar1s,5,0,5,1,H2O,3,1 8 25,1,8 25,O:1,O H H,0.0,2.248266,0.24826600000000004,0.224850401282,-0.02341559871800003,0.02341559871800003,11.701129046666667,12.892626406666666,10.32689181
polar1s,5,0,5,2,H2O,3,5 2 28,5,2 28,O:5,O H H,0.0,1.946727,-0.05327299999999996,-0.05963492393400002,-0.006361923934000063,0.006361923934000063,9.903424226666667,11.25937441,10.45491698
polar1s,5,0,5,3,H2O,3,3 17 37,3,17 37,O:3,O H H,0.0,2.029803,0.029803000000000024,0.06553626060500001,0.03573326060499998,0.03573326060499998,11.743895686666667,9.955974316666667,9.580437793333333
polar1s,5,0,5,4,H2O,3,4 16 29,4,16 29,O:4,O H H,0.0,2.041016,0.04101599999999994,0.045060425997,0.004044425997000056,0.004044425997000056,10.424309023333334,11.969956036666668,13.867812163333333
polar1s,5,0,5,5,H2O,3,40 6 18,40,6 18,O:40,O H H,0.0,2.116474,0.11647399999999997,0.14420609176100002,0.027732091761000055,0.027732091761000055,8.569988723333333,12.749434063333332,14.635354723333336
polar1s,5,0,5,6,H2O,3,7 20 24,7,20 24,O:7,O H H,0.0,1.947878,-0.05212200000000006,-0.046081468463000014,0.006040531537000043,0.006040531537000043,17.324206983333333,15.533415356666666,10.9618836
polar1s,5,0,5,7,HO,2,11 9,11,9,O:11,O H,-1.0,1.449991,-0.550009,-0.42142841219899996,0.128580587801,0.128580587801,11.28741447,9.66847205,13.82504371
polar1s,5,0,5,8,H2O,3,12 23 27,12,23 27,O:12,O H H,0.0,1.939531,-0.060469000000000106,-0.023857653140000018,0.03661134686000009,0.03661134686000009,9.044405056666667,10.512291656666667,12.264227456666665
polar1s,5,0,5,9,H2O,3,26 13 35,26,13 35,O:26,O H H,0.0,2.181861,0.18186099999999994,0.21153858303999995,0.02967758304000001,0.02967758304000001,16.438703896666667,14.011973356666665,9.72095004
polar1s,5,0,5,10,H2O,3,33 14 36,33,14 36,O:33,O H H,0.0,1.8902999999999999,-0.10969999999999996,-0.16696046292800004,-0.05726046292800008,0.05726046292800008,11.699634266666669,7.502623656666667,14.171677746666667
polar1s,5,0,5,11,H2O,3,32 15 31,32,15 31,O:32,O H H,0.0,2.031469,0.031469000000000136,0.039017096162000026,0.00754809616199989,0.00754809616199989,13.52590389333333,12.95206522,13.535483423333334
polar1s,5,0,5,12,H2O,3,19 21 41,19,21 41,O:19,O H H,0.0,1.978209,-0.02179099999999995,-0.014520436525000013,0.007270563474999936,0.007270563474999936,12.845691993333332,9.47513428,12.559529036666666
polar1s,5,0,5,13,H2O,3,30 22 38,30,22 38,O:30,O H H,0.0,1.8577770000000002,-0.14222299999999993,-0.12551076710300002,0.016712232896999912,0.016712232896999912,15.468939863333333,12.045867083333334,10.8692133
polar1s,5,0,5,14,H,1,34,,34,H:34,H,1.0,0.398652,0.398652,0.171731233597,-0.22692076640300002,0.22692076640300002,12.0,12.0,12.0
polar1s,6,0,6,0,H2O,3,10 0 42,10,0 42,O:10,O H H,0.0,1.952642,-0.04735800000000001,-0.01699864864300002,0.030359351356999992,0.030359351356999992,9.324332156666665,13.540165906666667,12.528440103333333
polar1s,6,0,6,1,H2O,3,1 8 27,1,8 27,O:1,O H H,0.0,2.23093,0.23093000000000002,0.21336516737900002,-0.017564832621000004,0.017564832621000004,11.694497403333335,12.96371219,10.37415398
polar1s,6,0,6,2,H2O,3,5 2 31,5,2 31,O:5,O H H,0.0,1.980898,-0.019102000000000063,-0.013149321078999965,0.0059526789210000985,0.0059526789210000985,9.87346018,11.389713363333334,10.53100708
polar1s,6,0,6,3,H2O,3,3 18 40,3,18 40,O:3,O H H,0.0,2.0252559999999997,0.025255999999999945,0.044310793281000016,0.01905479328100007,0.01905479328100007,11.644155419999999,10.149715176666666,9.61042295
polar1s,6,0,6,4,H2O,3,4 17 32,4,17 32,O:4,O H H,0.0,2.0340350000000003,0.034034999999999926,0.055069223047000015,0.02103422304700009,0.02103422304700009,10.3697315,12.124614466666666,13.893604879999998
polar1s,6,0,6,5,H2O,3,43 6 19,43,6 19,O:43,O H H,0.0,1.919366,-0.0806340000000001,-0.06791448593099997,0.012719514069000126,0.012719514069000126,8.594949646666665,12.707894606666665,14.60364925666667
polar1s,6,0,6,6,H2O,3,7 22 26,7,22 26,O:7,O H H,0.0,1.995165,-0.004834999999999978,0.0017642676830000315,0.00659926768300001,0.00659926768300001,17.188019116666666,15.729096366666667,11.028803586666667
polar1s,6,0,6,7,HO,2,11 9,11,9,O:11,O H,-1.0,1.481374,-0.518626,-0.4440815746779999,0.07454442532200012,0.07454442532200012,11.263309594999999,9.73071365,13.93778935
polar1s,6,0,6,8,H2O,3,12 25 30,12,25 30,O:12,O H H,0.0,1.9311559999999999,-0.06884400000000007,-0.034772038460000015,0.034071961540000056,0.034071961540000056,9.088050966666666,10.7191773,12.263999256666667
polar1s,6,0,6,9,H2O,3,28 13 38,28,13 38,O:28,O H H,0.0,2.128329,0.12832900000000003,0.154847085476,0.026518085475999986,0.026518085475999986,16.46159243,14.119425049999998,9.763134243333333
polar1s,6,0,6,10,H2O,3,36 14 39,36,14 39,O:36,O H H,0.0,1.9302059999999999,-0.06979400000000008,-0.11115196347199999,-0.04135796347199991,0.04135796347199991,11.667694263333333,7.567019593333334,14.1997662
polar1s,6,0,6,11,H2O,3,15 21 29,15,21 29,O:15,O H H,0.0,2.161574,0.16157400000000005,0.18339201807999994,0.02181801807999989,0.02181801807999989,7.243903593333333,10.731934113333333,14.788103693333333
polar1s,6,0,6,12,H2O,3,35 16 34,35,16 34,O:35,O H H,0.0,2.041789,0.04178900000000013,0.03716354071999997,-0.00462545928000016,0.00462545928000016,13.548032476666664,13.048957456666665,13.484343283333333
polar1s,6,0,6,13,H2O,3,20 23 44,20,23 44,O:20,O H H,0.0,1.980048,-0.019952000000000025,-0.017653733491999973,0.002298266508000052,0.002298266508000052,12.832231353333333,9.555482933333332,12.562797410000002
polar1s,6,0,6,14,H2O,3,33 24 41,33,24 41,O:33,O H H,0.0,1.866899,-0.13310100000000002,-0.116530567408,0.01657043259200003,0.01657043259200003,15.4968006,12.046718069999999,10.887567426666669
polar1s,6,0,6,15,H,1,37,,37,H:37,H,1.0,0.340334,0.340334,0.132340341806,-0.20799365819400004,0.20799365819400004,12.0,12.0,12.0
polar1s,7,0,7,0,H2O,3,0 6 24,0,6 24,O:0,O H H,0.0,2.2316130000000003,0.23161300000000007,0.197197213769,-0.034415786231000056,0.034415786231000056,11.703895643333333,13.04131088,10.408432833333334
polar1s,7,0,7,1,H2O,3,5 1 27,5,1 27,O:5,O H H,0.0,2.013741,0.013740999999999892,0.04522249102700002,0.031481491027000125,0.031481491027000125,9.834353299999998,11.510739123333332,10.498213613333332
polar1s,7,0,7,2,H2O,3,2 16 36,2,16 36,O:2,O H H,0.0,2.049441,0.04944100000000001,0.07240024209000004,0.022959242090000026,0.022959242090000026,11.5618602,10.340721133333332,9.587147706666668
polar1s,7,0,7,3,H2O,3,13 3 9,13,3 9,O:13,O H H,0.0,2.008823,0.00882300000000008,0.03125165402899999,0.022428654028999906,0.022428654028999906,10.599015783333334,13.632620226666667,7.786007396666665
polar1s,7,0,7,4,H2O,3,4 15 28,4,15 28,O:4,O H H,0.0,2.095607,0.09560700000000011,0.11047033965699998,0.014863339656999874,0.014863339656999874,10.362698746666666,12.227947703333333,13.90906253
polar1s,7,0,7,5,HO,2,8 7,8,7,O:8,O H,-1.0,1.563528,-0.43647199999999997,-0.302490845322,0.13398115467799998,0.13398115467799998,11.20898295,9.813270280000001,13.946817915
polar1s,7,0,7,6,H2O,3,10 23 26,10,23 26,O:10,O H H,0.0,1.830779,-0.169221,-0.13972842693200002,0.02949257306799999,0.02949257306799999,9.0267204,10.93352317,12.250935146666668
polar1s,7,0,7,7,H2O,3,25 11 34,25,11 34,O:25,O H H,0.0,2.140772,0.1407719999999999,0.187731474638,0.0469594746380001,0.0469594746380001,16.473607843333333,14.21900454,9.770563836666668
polar1s,7,0,7,8,H2O,3,32 12 35,32,12 35,O:32,O H H,0.0,1.9026200000000002,-0.09737999999999991,-0.16866457462300005,-0.07128457462300014,0.07128457462300014,11.605648226666666,7.729297976666667,14.225009306666665
polar1s,7,0,7,9,H2O,3,31 14 30,31,14 30,O:31,O H H,0.0,2.064718,0.064718,0.043801143764999995,-0.020916856235000003,0.020916856235000003,13.616972183333333,13.147315673333333,13.440266966666664
polar1s,7,0,7,10,H2O,3,19 17 21,19,17 21,O:19,O H H,0.0,1.9013549999999997,-0.09864500000000015,-0.08120757341400003,0.017437426586000115,0.017437426586000115,10.26405786,11.140792696666667,15.794948516666665
polar1s,7,0,7,11,H2O,3,18 20 38,18,20 38,O:18,O H H,0.0,2.00672,0.006719999999999948,-0.008834183215999963,-0.015554183215999912,0.015554183215999912,12.82335276,9.636795053333334,12.551628903333333
polar1s,7,0,7,12,H2O,3,29 22 37,29,22 37,O:29,O H H,0.0,1.853895,-0.14610499999999998,-0.132973060012,0.013131939987999997,0.013131939987999997,15.513352509999999,12.068748633333334,10.877836686666667
polar1s,7,0,7,13,H,1,33,,33,H:33,H,1.0,0.33639,0.33639,0.145824074745,-0.19056592525500002,0.19056592525500002,12.0,12.0,12.0
polar1s,8,0,8,0,H2O,3,0 5 20,0,5 20,O:0,O H H,0.0,2.258473,0.25847299999999995,0.212827220559,-0.045645779440999956,0.045645779440999956,11.735026373333334,13.116518203333333,10.38300679
polar1s,8,0,8,1,H2O,3,4 1 22,4,1 22,O:4,O H H,0.0,2.031408,0.0314080000000001,0.07959797978400002,0.048189979783999914,0.048189979783999914,9.811920093333333,11.649067153333332,10.417101586666668
polar1s,8,0,8,2,H2O,3,2 12 30,2,12 30,O:2,O H H,0.0,2.0776310000000002,0.077631,0.11024269461599998,0.03261169461599997,0.03261169461599997,11.50548059,10.522437133333334,9.522608473333333
polar1s,8,0,8,3,H2O,3,3 11 23,3,11 23,O:3,O H H,0.0,2.1109980000000004,0.1109980000000001,0.09581550955799997,-0.015182490442000124,0.015182490442000124,10.38199505,12.360311813333333,13.864362113333334
polar1s,8,0,8,4,H2O,3,7 6 29,7,6 29,O:7,O H H,0.0,1.9714049999999999,-0.02859499999999998,-0.06390011310649998,-0.0353051131065,0.0353051131065,11.251787013333333,9.556707786666667,14.086112233333333
polar1s,8,0,8,5,H2O,3,8 19 21,8,19 21,O:8,O H H,0.0,1.8014959999999998,-0.19850400000000007,-0.168942496181,0.02956150381900008,0.02956150381900008,8.88526677,11.146322799999998,12.242497440000001
