frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,predicted_charge_sum_e,status,error
41,polar1s,polar-1-s,polar,cuda,float32,61,H41O20,-41594.0820312,-681.870197234,9.81418544622,3.85861154751,1,-1.9371509552e-07,ok,
42,polar1s,polar-1-s,polar,cuda,float32,43,H29O14,-29119.3222656,-677.193541061,9.42533359684,4.3235172212,1,1.19209289551e-07,ok,
43,polar1s,polar-1-s,polar,cuda,float32,37,H25O12,-24963.6054688,-674.692039696,9.95129103603,4.14463102765,1,3.42726707458e-07,ok,
44,polar1s,polar-1-s,polar,cuda,float32,34,H23O11,-22883.8105469,-673.053251379,11.5968405469,4.97824886803,1,-2.08616256714e-07,ok,
45,polar1s,polar-1-s,polar,cuda,float32,40,H27O13,-27040.6953125,-676.017382813,8.04515669312,3.8800525549,1,1.63912773132e-07,ok,
46,polar1s,polar-1-s,polar,cuda,float32,54,H36O18,-37420.6015625,-692.974103009,8.25543900933,3.67701371144,0,-2.08616256714e-07,ok,
47,polar1s,polar-1-s,polar,cuda,float32,37,H25O12,-24962.8515625,-674.671663851,8.02637646301,4.01097077852,1,-2.83122062683e-07,ok,
48,polar1s,polar-1-s,polar,cuda,float32,46,H31O15,-31203.9414062,-678.34655231,8.34041562855,3.75481353153,1,-1.49011611938e-08,ok,
49,polar1s,polar-1-s,polar,cuda,float32,56,H38O18,-37455.0820312,-668.840750558,6.63235470944,3.64415453134,2,1.49011611938e-08,ok,
50,polar1s,polar-1-s,polar,cuda,float32,24,H16O8,-16634.96875,-693.123697917,6.40837361303,3.04809216173,0,-4.47034835815e-08,ok,
51,polar1s,polar-1-s,polar,cuda,float32,33,H22O11,-22871.4257812,-693.073508523,7.72829771054,3.99533523619,0,-5.96046447754e-08,ok,
52,polar1s,polar-1-s,polar,cuda,float32,45,H30O15,-31190.7792969,-693.128428819,7.17137731929,3.10379331266,0,-1.78813934326e-07,ok,
53,polar1s,polar-1-s,polar,cuda,float32,42,H28O14,-29110.2226562,-693.100539435,8.52175744886,3.45042121059,0,2.98023223877e-08,ok,
