frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,predicted_charge_sum_e,status,error
52,off,medium,off,cuda,float32,45,H30O15,-31208.9296875,-693.531770833,6.91255145484,3.21610639563,0,,ok,
53,off,medium,off,cuda,float32,42,H28O14,-29127.0800781,-693.501906622,10.4971070551,3.60174349936,0,,ok,
54,off,medium,off,cuda,float32,33,H22O11,-22884.4960938,-693.469578598,7.2254029454,3.77823260641,0,,ok,
55,off,medium,off,cuda,float32,22,H15O7,-14580.328125,-662.7421875,6.06219684954,3.08562487695,1,,ok,
56,off,medium,off,cuda,float32,34,H23O11,-22901.7714844,-673.581514246,10.6465522566,4.36647655026,1,,ok,
57,off,medium,off,cuda,float32,49,H33O16,-33304.3398438,-679.680404974,6.9337420606,3.45013007636,1,,ok,
58,off,medium,off,cuda,float32,46,H31O15,-31222.9472656,-678.759723166,8.37411371725,4.16119874617,1,,ok,
59,off,medium,off,cuda,float32,46,H31O15,-31223.1191406,-678.763459579,11.483795352,4.22110918003,1,,ok,
60,off,medium,off,cuda,float32,40,H27O13,-27060.6621094,-676.516552734,11.4212485032,3.90100982776,1,,ok,
61,off,medium,off,cuda,float32,34,H23O11,-22903.2734375,-673.625689338,8.39480384967,3.51789152041,1,,ok,
62,off,medium,off,cuda,float32,31,H21O10,-20819.7050781,-671.603389617,15.0972690408,5.99848968614,1,,ok,
63,off,medium,off,cuda,float32,40,H27O13,-27062.0175781,-676.550439453,7.09133036426,3.4216327352,1,,ok,
64,off,medium,off,cuda,float32,37,H25O12,-24982.0664062,-675.190983953,8.56853557676,3.57531728791,1,,ok,
65,off,medium,off,cuda,float32,28,H19O9,-18740.5625,-669.305803571,12.4843634852,5.1613398516,1,,ok,
66,off,medium,off,cuda,float32,28,H19O9,-18739.75,-669.276785714,13.4233067877,5.2034227463,1,,ok,
67,off,medium,off,cuda,float32,34,H23O11,-22901.7773438,-673.581686581,11.7375713576,4.06054234737,1,,ok,
68,off,medium,off,cuda,float32,34,H23O11,-22903.4238281,-673.630112592,5.48711833672,3.27125378747,1,,ok,
69,off,medium,off,cuda,float32,46,H31O15,-31223.8261719,-678.778829823,12.689675468,4.03737762084,1,,ok,
70,off,medium,off,cuda,float32,30,H20O10,-20803.3984375,-693.446614583,10.4212730088,4.4381413731,0,,ok,
