frame_index_0based,source_file,charge,natoms,component_count,largest_component_atoms,minimum_interatomic_distance_A,molecular_composition
70,C_DFTprod_cutcluster_0070.out,0,27,9,3,0.9334254405232377,H2O(9)
71,C_DFTprod_cutcluster_0071.out,0,27,9,3,0.9120929155700078,H2O(9)
72,C_DFTprod_cutcluster_0072.out,0,27,9,3,0.9247110567988254,H2O(9)
73,C_DFTprod_cutcluster_0073.out,0,27,9,3,0.9287084237154308,H2O(9)
74,C_DFTprod_cutcluster_0074.out,0,27,9,3,0.931709105608612,H2O(9)
75,C_DFTprod_cutcluster_0075.out,0,27,9,3,0.9040620112055366,H2O(9)
76,C_DFTprod_cutcluster_0076.out,0,27,9,3,0.933195066767929,H2O(9)
77,C_DFTprod_cutcluster_0077.out,0,27,9,3,0.9382126462689585,H2O(9)
78,C_DFTprod_cutcluster_0078.out,0,27,9,3,0.9359597509567386,H2O(9)
79,C_DFTprod_cutcluster_0079.out,0,27,9,3,0.9421521402899845,H2O(9)
80,C_DFTprod_cutcluster_0080.out,0,27,9,3,0.9433802940373516,H2O(9)
81,C_DFTprod_cutcluster_0081.out,0,27,9,3,0.9297111218464568,H2O(9)
82,C_DFTprod_cutcluster_0082.out,0,27,9,3,0.9337128114538211,H2O(9)
83,C_DFTprod_cutcluster_0083.out,0,27,9,3,0.9252841673891326,H2O(9)
84,C_DFTprod_cutcluster_0084.out,0,27,9,3,0.9251630453541685,H2O(9)
85,C_DFTprod_cutcluster_0085.out,0,27,9,3,0.9550553159252086,H2O(9)
86,C_DFTprod_cutcluster_0086.out,0,27,9,3,0.9241634670435742,H2O(9)
87,C_DFTprod_cutcluster_0087.out,0,27,9,3,0.9271283858953954,H2O(9)
88,C_DFTprod_cutcluster_0088.out,0,27,9,3,0.9215808789308731,H2O(9)
89,C_DFTprod_cutcluster_0089.out,0,27,9,3,0.9212948868907278,H2O(9)
90,C_DFTprod_cutcluster_0090.out,0,27,9,3,0.9309436157324443,H2O(9)
91,C_DFTprod_cutcluster_0091.out,0,27,9,3,0.9457013713620173,H2O(9)
92,C_DFTprod_cutcluster_0092.out,0,27,9,3,0.907994825628979,H2O(9)
93,C_DFTprod_cutcluster_0093.out,0,27,9,3,0.934420498260286,H2O(9)
94,C_DFTprod_cutcluster_0094.out,0,27,9,3,0.932252894889578,H2O(9)
95,C_DFTprod_cutcluster_0095.out,0,27,9,3,0.9318782187786139,H2O(9)
96,C_DFTprod_cutcluster_0096.out,0,27,9,3,0.9159617826274201,H2O(9)
97,C_DFTprod_cutcluster_0097.out,0,27,9,3,0.9258476035898126,H2O(9)
98,C_DFTprod_cutcluster_0098.out,0,27,9,3,0.9214483563971451,H2O(9)
99,C_DFTprod_cutcluster_0099.out,0,27,9,3,0.9261019111361345,H2O(9)
100,C_DFTprod_cutcluster_0200.out,0,27,9,3,0.931954733534842,H2O(9)
101,C_DFTprod_cutcluster_0203.out,0,27,9,3,0.9423830959572648,H2O(9)
102,C_DFTprod_cutcluster_0204.out,0,27,9,3,0.9280353643698073,H2O(9)
103,C_DFTprod_cutcluster_0205.out,0,27,9,3,0.9442286249600783,H2O(9)
104,C_DFTprod_cutcluster_0206.out,0,27,9,3,0.9315360689017893,H2O(9)
105,C_DFTprod_cutcluster_0208.out,0,27,9,3,0.9365290683801542,H2O(9)
106,C_DFTprod_cutcluster_0209.out,0,27,9,3,0.948021838535906,H2O(9)
107,C_DFTprod_cutcluster_0210.out,0,27,9,3,0.9385049795429963,H2O(9)
108,C_DFTprod_cutcluster_0213.out,0,27,9,3,0.9477320049470743,H2O(9)
109,C_DFTprod_cutcluster_0214.out,0,27,9,3,0.9081602722410856,H2O(9)
110,C_DFTprod_cutcluster_0220.out,0,27,9,3,0.9456401914306523,H2O(9)
111,C_DFTprod_cutcluster_0222.out,0,27,9,3,0.9350996412409762,H2O(9)
112,C_DFTprod_cutcluster_0226.out,0,27,9,3,0.9342564429566442,H2O(9)
113,C_DFTprod_cutcluster_0227.out,0,27,9,3,0.9395345205180068,H2O(9)
114,C_DFTprod_cutcluster_0228.out,0,27,9,3,0.9242199781394028,H2O(9)
115,C_DFTprod_cutcluster_0231.out,0,27,9,3,0.9576258654934094,H2O(9)
116,C_DFTprod_cutcluster_0234.out,0,27,9,3,0.9341954385978354,H2O(9)
117,C_DFTprod_cutcluster_0236.out,0,27,9,3,0.9112189152717375,H2O(9)
118,C_DFTprod_cutcluster_0241.out,0,27,9,3,0.9337139509180523,H2O(9)
119,C_DFTprod_cutcluster_0244.out,0,27,9,3,0.9238498133170785,H2O(9)
120,C_DFTprod_cutcluster_0248.out,0,27,9,3,0.9354779235989489,H2O(9)
121,C_DFTprod_cutcluster_0249.out,0,27,9,3,0.9237242242947836,H2O(9)
122,C_DFTprod_cutcluster_0250.out,0,27,9,3,0.9446586570767246,H2O(9)
123,C_DFTprod_cutcluster_0251.out,0,27,9,3,0.9349634219203434,H2O(9)
124,C_DFTprod_cutcluster_0257.out,0,27,9,3,0.9343751934180403,H2O(9)
125,C_DFTprod_cutcluster_0260.out,0,27,9,3,0.912349292472461,H2O(9)
126,C_DFTprod_cutcluster_0262.out,0,27,9,3,0.9374837963922368,H2O(9)
127,C_DFTprod_cutcluster_0263.out,0,27,9,3,0.9468178956953663,H2O(9)
128,C_DFTprod_cutcluster_0264.out,0,27,9,3,0.913102316592178,H2O(9)
129,C_DFTprod_cutcluster_0265.out,0,27,9,3,0.9163548234003043,H2O(9)
130,C_DFTprod_cutcluster_0266.out,0,27,9,3,0.9522313868687583,H2O(9)
131,C_DFTprod_cutcluster_0267.out,0,27,9,3,0.9240549444053632,H2O(9)
132,C_DFTprod_cutcluster_0268.out,0,27,9,3,0.9306596434862734,H2O(9)
133,C_DFTprod_cutcluster_0269.out,0,27,9,3,0.9398416228546178,H2O(9)
134,C_DFTprod_cutcluster_0272.out,0,27,9,3,0.9372012109179119,H2O(9)
135,C_DFTprod_cutcluster_0274.out,0,27,9,3,0.9133237962584794,H2O(9)
136,C_DFTprod_cutcluster_0275.out,0,27,9,3,0.929035353539358,H2O(9)
137,C_DFTprod_cutcluster_0277.out,0,27,9,3,0.9140013401986883,H2O(9)
138,C_DFTprod_cutcluster_0280.out,0,27,9,3,0.9389080810191157,H2O(9)
139,C_DFTprod_cutcluster_0284.out,0,27,9,3,0.9282729491065655,H2O(9)
140,C_DFTprod_cutcluster_0287.out,0,27,9,3,0.9254913868783443,H2O(9)
141,C_DFTprod_cutcluster_0288.out,0,27,9,3,0.9246764155903401,H2O(9)
142,C_DFTprod_cutcluster_0292.out,0,27,9,3,0.903970202046505,H2O(9)
143,C_DFTprod_cutcluster_0297.out,0,27,9,3,0.9432543258914844,H2O(9)
144,C_DFTprod_cutcluster_0407.out,0,27,9,3,0.9458530226049924,H2O(9)
145,C_DFTprod_cutcluster_0413.out,0,27,9,3,0.9509112423149712,H2O(9)
146,C_DFTprod_cutcluster_0415.out,0,27,9,3,0.9344885748140538,H2O(9)
147,C_DFTprod_cutcluster_0420.out,0,27,9,3,0.9072200325935272,H2O(9)
148,C_DFTprod_cutcluster_0423.out,0,27,9,3,0.9359944706129423,H2O(9)
149,C_DFTprod_cutcluster_0427.out,0,27,9,3,0.9271016665862503,H2O(9)
150,C_DFTprod_cutcluster_0433.out,0,27,9,3,0.9369187545443856,H2O(9)
151,C_DFTprod_cutcluster_0445.out,0,27,9,3,0.9322773212092003,H2O(9)
152,C_DFTprod_cutcluster_0450.out,0,27,9,3,0.9246512806918078,H2O(9)
153,C_DFTprod_cutcluster_0455.out,0,27,9,3,0.9524691377582808,H2O(9)
154,C_DFTprod_cutcluster_0457.out,0,27,9,3,0.8913213320537109,H2O(9)
155,C_DFTprod_cutcluster_0458.out,0,27,9,3,0.941663623264168,H2O(9)
156,C_DFTprod_cutcluster_0460.out,0,27,9,3,0.9335198248928623,H2O(9)
157,C_DFTprod_cutcluster_0465.out,0,27,9,3,0.9106245448965231,H2O(9)
158,C_DFTprod_cutcluster_0470.out,0,27,9,3,0.911296801813767,H2O(9)
159,C_DFTprod_cutcluster_0480.out,0,27,9,3,0.9248743713683495,H2O(9)
160,C_DFTprod_cutcluster_0493.out,0,27,9,3,0.9454892714071377,H2O(9)
161,C_DFTprod_cutcluster_0498.out,0,27,9,3,0.9380361514936404,H2O(9)
