frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,mlip_charge_setting_e,predicted_charge_sum_e,status,error
51,off,medium,off,cuda,float32,33,H22O11,-22885.09375,-693.487689394,7.79761148672,3.92385836389,0,0,,ok,
52,off,medium,off,cuda,float32,45,H30O15,-31208.9296875,-693.531770833,6.91255156997,3.21610653039,0,0,,ok,
53,off,medium,off,cuda,float32,42,H28O14,-29127.0800781,-693.501906622,10.4971070551,3.60174355289,0,0,,ok,
54,off,medium,off,cuda,float32,33,H22O11,-22884.4960938,-693.469578598,7.22540334389,3.77823227543,0,0,,ok,
55,off,medium,off,cuda,float32,22,H15O7,-14580.328125,-662.7421875,6.06219709836,3.08562504599,1,1,,ok,
56,off,medium,off,cuda,float32,34,H23O11,-22901.7714844,-673.581514246,10.6465531525,4.36647695474,1,1,,ok,
57,off,medium,off,cuda,float32,49,H33O16,-33304.3398438,-679.680404974,6.93374312217,3.45012998274,1,1,,ok,
58,off,medium,off,cuda,float32,46,H31O15,-31222.9472656,-678.759723166,8.37411379827,4.16119881192,1,1,,ok,
59,off,medium,off,cuda,float32,46,H31O15,-31223.1191406,-678.763459579,11.4837959459,4.22110924551,1,1,,ok,
60,off,medium,off,cuda,float32,40,H27O13,-27060.6621094,-676.516552734,11.4212490517,3.90100986175,1,1,,ok,
61,off,medium,off,cuda,float32,34,H23O11,-22903.2734375,-673.625689338,8.3948029389,3.51789146115,1,1,,ok,
62,off,medium,off,cuda,float32,31,H21O10,-20819.7050781,-671.603389617,15.0972673502,5.99848954363,1,1,,ok,
63,off,medium,off,cuda,float32,40,H27O13,-27062.0175781,-676.550439453,7.09133124149,3.42163283477,1,1,,ok,
64,off,medium,off,cuda,float32,37,H25O12,-24982.0664062,-675.190983953,8.56853591283,3.57531719702,1,1,,ok,
65,off,medium,off,cuda,float32,28,H19O9,-18740.5625,-669.305803571,12.484365462,5.1613400007,1,1,,ok,
66,off,medium,off,cuda,float32,28,H19O9,-18739.75,-669.276785714,13.423306023,5.20342267674,1,1,,ok,
67,off,medium,off,cuda,float32,34,H23O11,-22901.7773438,-673.581686581,11.7375721274,4.06054251767,1,1,,ok,
68,off,medium,off,cuda,float32,34,H23O11,-22903.4238281,-673.630112592,5.4871174736,3.27125369628,1,1,,ok,
69,off,medium,off,cuda,float32,46,H31O15,-31223.8261719,-678.778829823,12.6896753147,4.03737781879,1,1,,ok,
70,off,medium,off,cuda,float32,30,H20O10,-20803.3984375,-693.446614583,10.421272873,4.43814135489,0,0,,ok,
71,off,medium,off,cuda,float32,34,H23O11,-22898.7109375,-673.491498162,7.36223263932,4.0389373547,1,1,,ok,
72,off,medium,off,cuda,float32,31,H21O10,-20818.9707031,-671.579700101,7.98757122036,4.30378135288,1,1,,ok,
73,off,medium,off,cuda,float32,28,H19O9,-18741.4609375,-669.337890625,8.61637225841,3.43367216438,1,1,,ok,
74,off,medium,off,cuda,float32,28,H19O9,-18741.8574219,-669.352050781,7.44588792572,3.81377645352,1,1,,ok,
75,off,medium,off,cuda,float32,31,H21O10,-20821.7714844,-671.670047883,8.71764701239,4.05123699476,1,1,,ok,
76,off,medium,off,cuda,float32,34,H23O11,-22902.0527344,-673.589786305,5.81374924674,2.8406482065,1,1,,ok,
77,off,medium,off,cuda,float32,40,H27O13,-27059.6738281,-676.491845703,8.86897275354,4.03600390442,1,1,,ok,
78,off,medium,off,cuda,float32,34,H23O11,-22900.3828125,-673.540670956,7.83161276039,4.05620955526,1,1,,ok,
79,off,medium,off,cuda,float32,40,H27O13,-27060.8730469,-676.521826172,7.86914899128,4.39457363982,1,1,,ok,
80,off,medium,off,cuda,float32,34,H23O11,-22900.5410156,-673.545323989,7.1085158985,3.65312199476,1,1,,ok,
81,off,medium,off,cuda,float32,34,H23O11,-22899.9335938,-673.52745864,8.4924529326,4.06856297075,1,1,,ok,
82,off,medium,off,cuda,float32,55,H37O18,-37465.1171875,-681.183948864,9.91805245513,3.53139075009,1,1,,ok,
83,off,medium,off,cuda,float32,61,H41O20,-41623.6015625,-682.354123975,10.6079586681,4.25182489166,1,1,,ok,
84,off,medium,off,cuda,float32,43,H29O14,-29141.6757812,-677.713390262,7.34638213228,3.54884491394,1,1,,ok,
85,off,medium,off,cuda,float32,37,H25O12,-24980.3183594,-675.143739443,10.2637418368,3.7316995698,1,1,,ok,
86,off,medium,off,cuda,float32,40,H27O13,-27061.2148438,-676.530371094,7.94150463914,3.96463196023,1,1,,ok,
87,off,medium,off,cuda,float32,28,H19O9,-18741.3632812,-669.334402902,6.70086140792,3.35532914684,1,1,,ok,
88,off,medium,off,cuda,float32,37,H25O12,-24981.96875,-675.188344595,5.78862885181,3.27953629468,1,1,,ok,
89,off,medium,off,cuda,float32,43,H29O14,-29142.7265625,-677.737827035,6.85581288553,3.39422668302,1,1,,ok,
90,off,medium,off,cuda,float32,31,H21O10,-20822.2988281,-671.687058972,6.1659955297,3.20105959466,1,1,,ok,
91,off,medium,off,cuda,float32,31,H21O10,-20822.1171875,-671.681199597,7.18930935839,3.57273676773,1,1,,ok,
92,off,medium,off,cuda,float32,28,H19O9,-18742.7304688,-669.383231027,5.97367408607,3.11259878702,1,1,,ok,
93,off,medium,off,cuda,float32,31,H21O10,-20822.5039062,-671.693674395,7.6549924653,3.52796750462,1,1,,ok,
94,off,medium,off,cuda,float32,34,H23O11,-22902.2460938,-673.595473346,13.3871614909,3.97939148367,1,1,,ok,
95,off,medium,off,cuda,float32,34,H23O11,-22902.8320312,-673.612706801,6.70024649413,3.02599317807,1,1,,ok,
96,off,medium,off,cuda,float32,37,H25O12,-24985.65625,-675.288006757,5.75972611577,3.11021611722,1,1,,ok,
97,off,medium,off,cuda,float32,40,H27O13,-27066.1523438,-676.653808594,7.14009758612,3.16115522036,1,1,,ok,
