cluster_id,sample_kind,condition,molecule,source_condensed_frame,source_frame_fraction,seed_atoms,seed_distance_A,covalent_bond_length_A,formed_covalent_scale,near_covalent_scale,formed_cutoff_A,near_cutoff_A,distance_margin_to_formed_cutoff_A,natoms,charge,spin,environment_radius_A,graph_cutoff_scale,graph_cutoff_A,h2_covalent_bond_length_A,h2_formed_covalent_scale,h2_near_covalent_scale,h2_formed_cutoff_A,h2_near_cutoff_A,h2_near_graph_cutoff_scale,o2_covalent_bond_length_A,o2_formed_covalent_scale,o2_near_covalent_scale,o2_formed_cutoff_A,o2_near_cutoff_A,o2_near_graph_cutoff_scale,n2_covalent_bond_length_A,n2_formed_covalent_scale,n2_near_covalent_scale,n2_formed_cutoff_A,n2_near_cutoff_A,n2_near_graph_cutoff_scale,source_xyz,selection_rule,status,message
11,near_formation,P100GPa_R1,H2,1248,0.9976019184652278,"125,268",0.9712172202241526,0.62,1.5,1.6,0.9299999999999999,0.992,0.04121722022415264,14,14,1,3.976356080038183,1.2,1.165460664268983,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
12,near_formation,P100GPa_R1,H2,1247,0.996802557953637,"110,121",0.9407004835361469,0.62,1.5,1.6,0.9299999999999999,0.992,0.010700483536146943,9,9,2,2.1962262841155944,1.2,1.1288405802433763,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
13,near_formation,P100GPa_R1,H2,1247,0.996802557953637,"143,323",0.9421787099916423,0.62,1.5,1.6,0.9299999999999999,0.992,0.012178709991642389,11,11,2,4.007154661509499,1.2,1.1306144519899708,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
14,near_formation,P100GPa_R1,H2,1247,0.996802557953637,"89,231",0.9424953202533447,0.62,1.5,1.6,0.9299999999999999,0.992,0.012495320253344766,7,4,1,2.3269761310881063,1.2,1.1309943843040136,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
15,near_formation,P100GPa_R1,H2,1247,0.996802557953637,"204,337",0.9498776635430219,0.62,1.5,1.6,0.9299999999999999,0.992,0.019877663543022006,5,5,2,1.8879573614048604,1.2,1.1398531962516263,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
16,near_formation,P100GPa_R1,H2,1247,0.996802557953637,"259,347",0.9571829119938585,0.62,1.5,1.6,0.9299999999999999,0.992,0.027182911993858583,6,0,1,1.9104114855759229,1.2,1.1486194943926302,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
17,near_formation,P100GPa_R1,H2,1247,0.996802557953637,"172,299",0.96032264688371,0.62,1.5,1.6,0.9299999999999999,0.992,0.030322646883710114,15,15,2,4.2318790081355,1.2,1.152387176260452,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
18,near_formation,P100GPa_R1,H2,1247,0.996802557953637,"128,236",0.9720648346682343,0.62,1.5,1.6,0.9299999999999999,0.992,0.04206483466823441,9,9,2,2.002776312120473,1.2,1.166477801601881,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
19,near_formation,P100GPa_R1,H2,1246,0.9960031974420464,"249,313",0.9336217373788209,0.62,1.5,1.6,0.9299999999999999,0.992,0.0036217373788209883,8,8,1,1.9212881148203673,1.2,1.120346084854585,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
20,near_formation,P100GPa_R1,H2,1246,0.9960031974420464,"113,165",0.9496567346422541,0.62,1.5,1.6,0.9299999999999999,0.992,0.019656734642254148,9,3,2,3.47015310957977,1.2,1.139588081570705,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
21,near_formation,P100GPa_R1,H2,1246,0.9960031974420464,"304,337",0.9498618769078503,0.62,1.5,1.6,0.9299999999999999,0.992,0.01986187690785035,12,9,2,3.778404159616718,1.2,1.1398342522894203,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
22,near_formation,P100GPa_R1,H2,1246,0.9960031974420464,"62,153",0.9918596747292968,0.62,1.5,1.6,0.9299999999999999,0.992,0.061859674729296876,9,3,2,2.0263666701902068,1.2,1.1902316096751562,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
23,near_formation,P100GPa_R1,H2,1245,0.9952038369304557,"38,79",0.947827954414907,0.62,1.5,1.6,0.9299999999999999,0.992,0.017827954414907032,11,8,1,2.981275458365722,1.2,1.1373935452978883,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
24,near_formation,P100GPa_R1,H2,1245,0.9952038369304557,"50,281",0.9696745882415868,0.62,1.5,1.6,0.9299999999999999,0.992,0.03967458824158687,8,8,1,2.0634726485263473,1.2,1.163609505889904,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
25,near_formation,P100GPa_R1,H2,1245,0.9952038369304557,"256,336",0.987083401629647,0.62,1.5,1.6,0.9299999999999999,0.992,0.05708340162964709,13,4,1,5.090173091183872,1.2,1.1845000819555764,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
26,near_formation,P100GPa_R1,H2,1244,0.9944044764188649,"201,331",0.9500268491521312,0.62,1.5,1.6,0.9299999999999999,0.992,0.020026849152131265,7,4,1,2.022537795710112,1.2,1.1400322189825574,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
27,near_formation,P100GPa_R1,H2,1244,0.9944044764188649,"19,301",0.9763179631614913,0.62,1.5,1.6,0.9299999999999999,0.992,0.04631796316149139,14,14,1,3.472437796130376,1.2,1.1715815557937896,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
28,near_formation,P100GPa_R1,H2,1242,0.9928057553956835,"4,292",0.9743966461250789,0.62,1.5,1.6,0.9299999999999999,0.992,0.04439664612507899,9,9,2,2.040583528736909,1.2,1.1692759753500948,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
29,near_formation,P100GPa_R1,H2,1241,0.9920063948840927,"83,284",0.9582496090980672,0.62,1.5,1.6,0.9299999999999999,0.992,0.028249609098067285,16,10,1,5.143127715316593,1.2,1.1498995309176807,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
30,near_formation,P100GPa_R1,H2,1241,0.9920063948840927,"161,309",0.9636597239134618,0.62,1.5,1.6,0.9299999999999999,0.992,0.033659723913461836,13,7,2,4.590642645790162,1.2,1.1563916686961542,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
31,near_formation,P100GPa_R1,H2,1240,0.991207034372502,"285,344",0.9616984965135236,0.62,1.5,1.6,0.9299999999999999,0.992,0.03169849651352363,15,12,1,4.184220636300724,1.2,1.1540381958162282,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
32,near_formation,P100GPa_R1,H2,1240,0.991207034372502,"101,320",0.9841870251426968,0.62,1.5,1.6,0.9299999999999999,0.992,0.05418702514269691,9,6,1,2.794817039576368,1.2,1.1810244301712363,0.62,1.5,1.6,0.9299999999999999,0.992,1.2,1.32,1.0,1.2,1.32,1.584,0.8,1.42,1.1,1.3,1.562,1.8459999999999999,0.6,C:\Users\shaoq\Documents\Mainz\mlip\outputsfull\B1_conditionsproduction_stride100_xyz\P100GPa_R1\production_seed_603496614_P_100GPa_T_2840K_R1_initial_density_0.2_profile_density_3.72_stride100.xyz,same-element pair; near if formed_cutoff<=distance<=near_cutoff; union of connected components grown separately from both seed atoms using graph edges <= graph_cutoff_scale * seed_distance,,
