r_angstrom,methanol C - all O
0.025,0.0
0.07500000000000001,0.0
0.125,0.0
0.17500000000000002,0.0
0.225,0.0
0.275,0.0
0.32500000000000007,1.4093884176578755
0.375,0.21172146007482756
0.42500000000000004,0.9890102806263569
0.475,0.5278374350895979
0.525,0.7561480716958118
0.5750000000000001,0.2701549821370669
0.625,0.22865917688081402
0.675,0.718807426179969
0.7250000000000001,0.39650570703668697
0.775,0.5452763930126926
0.8250000000000001,0.48118513653369827
0.875,0.6999770720841246
0.925,0.6263490966421115
0.9750000000000001,0.5011158818339118
1.025,0.8218218482975902
1.0750000000000002,0.5668043414658706
1.125,0.5881151668745201
1.1750000000000003,0.625388196916364
1.225,0.4563342590117603
1.275,0.5677651611003154
1.3250000000000002,0.8479410558354601
1.375,6.0156890887376395
1.4250000000000003,15.131339805901543
1.475,5.14554309748078
1.525,0.9857764836862108
1.5750000000000002,0.5401057654970083
1.625,0.8118077285709356
1.6750000000000003,0.6791688627929411
1.725,0.6703845853030957
1.775,0.680398264870503
1.8250000000000002,0.81347286452094
1.875,0.6521020970304683
1.9250000000000003,0.6668743914483714
1.975,0.7480304750280325
2.0250000000000004,0.7696321936876399
2.075,0.7260733770166677
2.125,0.6461533833425559
2.175,0.7174865174949517
2.225,0.7337146924698942
2.2750000000000004,0.6903126943630382
2.325,0.6554332400859679
2.375,0.7178589117218498
2.4250000000000003,0.7341282426337842
2.475,0.6756033735170152
2.5250000000000004,0.7471789591896615
2.575,0.8172300678729602
2.625,0.7302229949519503
2.6750000000000003,0.7947182938873034
2.725,0.7898791110021687
2.7750000000000004,0.8042013092688789
2.825,0.8394078562368359
2.875,0.7384236178413127
2.9250000000000003,0.824753222184985
2.975,0.7434397007429436
3.0250000000000004,0.9403174606492442
3.075,0.8312680764389416
3.125,0.9786612770498823
3.1750000000000003,0.9008236839007384
3.225,1.0133774589844367
3.2750000000000004,0.9660154025906905
3.325,0.8644684523661259
3.375,0.9671227188603218
3.4250000000000003,0.9720867825642495
3.475,1.013350345241944
3.5250000000000004,0.9776183308117756
3.575,1.0319984611941149
3.625,0.9312219748118735
3.6750000000000003,1.0295077244371682
3.725,1.102904682566268
3.7750000000000004,1.1386493593121192
3.825,0.9951152823586166
3.875,0.9814975074228427
3.9250000000000003,1.0919343832209112
3.975,1.011876326630312
4.025,0.9244078640472515
4.075,1.143912664900494
4.125,0.9886167350601449
4.175000000000001,1.060732941624138
4.225,1.0257679016089862
4.275,1.0507874865209608
4.325,1.0138988360862142
4.375,1.1090747831021779
4.425000000000001,0.9913989655902614
4.475,1.000590558716354
4.525,0.9800543152024551
4.575,1.0469429898889553
4.625,0.9882396858131197
4.675000000000001,1.0407766589511642
4.725,0.9428512992750363
4.775,0.9689125232173309
4.825000000000001,1.0653143615808525
