# cluster_id frame_index natoms formula center_formula selected_molecule_ids
052 52 85 H57N3O25 H3N 7,9,10,12,13,18,19,24,30,32,34,36,38,39,40,41,50,52,55,56,59,75,83,84,87
053 53 83 H56N3O24 H3N 7,9,10,12,13,17,18,23,28,30,36,38,39,40,49,51,54,70,78,79
054 54 67 H45N3O19 H3N 7,9,10,12,18,19,28,30,36,38,39,40,50,55,62,70,78,79,82
055 55 82 H55N3O24 H3N 4,7,9,10,12,13,18,19,23,29,31,37,39,40,41,42,52,55,79,80,83
056 56 92 H63N5O24 H3N 4,7,9,10,12,13,18,19,22,23,28,30,38,39,40,47,49,52,54,73,76,77,80
057 57 90 H62N5O23 H3N 4,7,9,10,12,13,18,19,23,24,30,32,33,39,41,49,51,54,56,58,61,70,78,79
058 58 98 H67N6O25 H3N 3,4,7,9,10,12,13,17,18,23,29,30,38,40,41,51,53,56,57,58,60,63,74,79,82,83
059 59 100 H68N6O26 H5NO 7,9,10,12,14,15,17,18,19,20,25,31,32,40,41,49,53,56,57,59,61,62,78,79,81
060 60 106 H72N6O28 H5NO 3,7,9,10,11,12,13,15,16,17,18,23,28,29,38,39,46,50,53,54,56,66,71,72,75
061 61 87 H59N4O24 H5NO 7,9,10,11,12,13,16,17,18,19,24,30,31,39,40,47,51,54,56,66,70,74
062 62 86 H59N5O22 H3N 2,7,8,10,11,13,14,19,20,21,25,26,32,34,40,42,43,50,55,60,72,75,80,81,84
063 63 80 H55N5O20 H3N 7,8,10,11,13,14,19,20,21,25,26,32,36,41,42,44,55,60,71,76,80,81
064 64 84 H58N6O20 H3N 7,8,9,10,12,13,18,19,20,24,25,31,40,42,52,53,57,67,68,75,76
065 65 83 H57N5O21 H3N 7,8,10,11,13,14,19,20,24,25,30,33,40,53,55,58,68,74,77,78,81
066 66 96 H66N6O24 H3N 2,7,8,10,11,13,14,19,20,21,23,24,25,26,32,40,45,53,54,58,73,76,78,79,82
067 67 94 H64N4O26 H3N 2,7,8,9,10,11,13,14,19,20,22,23,24,30,33,38,39,41,53,54,56,58,78,79,81
068 68 85 H58N4O23 H3N 7,8,10,11,14,15,20,21,22,26,27,28,35,39,40,42,51,56,57,76,77
069 69 92 H63N5O24 H3N 7,8,10,11,13,14,19,20,24,25,26,31,35,39,42,50,54,55,57,79,80
070 70 83 H57N5O21 H3N 7,8,9,10,11,14,15,20,21,25,26,27,32,35,40,44,58,59,61,64,75,81,83
071 71 87 H60N6O21 H3N 7,8,9,10,11,14,15,20,21,22,25,26,27,32,43,54,55,71,72,73,78,79,82
072 72 85 H59N6O20 H3N 7,8,9,10,11,14,15,19,20,21,24,25,26,27,32,36,52,53,55,69,75,76,79,80
073 73 85 H59N6O20 H5NO 7,8,9,11,14,15,19,20,21,24,25,28,31,41,47,52,53,55,57,72,74,77
074 74 82 H57N6O19 H3N 7,8,9,11,14,15,19,20,21,25,26,27,32,35,43,50,56,57,61,73,76,78,79,80,84
075 75 94 H65N6O23 H3N 2,7,8,9,11,14,15,19,20,21,24,25,26,27,31,35,37,43,50,56,57,62,73,76,79,81,85
076 76 91 H62N4O25 H3N 7,8,9,11,14,15,19,20,21,24,25,28,32,38,40,47,54,55,70,77,78,82
077 77 86 H59N5O22 H3N 7,8,9,10,12,13,17,18,21,22,27,31,37,39,46,53,71,76,78,79,83
078 78 88 H60N5O23 H3N 2,7,8,9,10,11,14,15,18,20,21,22,26,27,28,33,36,57,70,71,76,77,80
079 79 92 H63N6O23 H3N 7,8,9,10,11,14,15,16,18,20,21,24,26,27,30,33,37,41,55,70,72,78,79,82,83
080 80 98 H67N6O25 H3N 6,7,8,9,10,13,14,17,18,19,22,23,24,25,26,37,40,41,51,56,68,74,75,78,79
081 81 85 H57N3O25 H3N 7,8,9,10,11,14,15,17,18,19,20,27,31,33,35,39,41,42,52,65,73,74,78
082 82 87 H60N6O21 H6NO2 1,11,14,17,19,21,26,27,30,32,34,39,41,42,43,48,49,52,62,71,74
083 83 76 H52N4O20 H3N 7,8,9,10,11,14,15,18,19,20,25,26,31,38,39,47,53,72,73,77
084 84 91 H62N5O24 H3N 7,8,9,10,11,12,15,16,18,20,21,22,23,28,29,33,36,39,40,46,54,66,73,74,75,78
085 85 97 H67N8O22 H3N 1,7,8,9,10,12,14,15,17,19,20,21,22,27,28,33,35,39,42,49,56,59,61,70,72,75,77,78,79,82
