frame,model_key,model_name,calculator,device,dtype,natoms,formula,energy_eV,energy_per_atom_eV,max_force_eV_A,rms_force_eV_A,formal_charge_sum_e,mlip_charge_setting_e,predicted_charge_sum_e,status,error
40,polar1m,polar-1-m,polar,cuda,float32,62,H42O20,-41598.359375,-670.941280242,11.4064475783,3.96877930509,2,2,2.0000000149,ok,
41,polar1m,polar-1-m,polar,cuda,float32,61,H41O20,-41588.2265625,-681.774205943,10.7353441718,4.05313702691,1,1,0.999999895692,ok,
42,polar1m,polar-1-m,polar,cuda,float32,43,H29O14,-29113.671875,-677.062136628,10.214523194,4.58377491824,1,1,1.00000002794,ok,
43,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24957.8769531,-674.537214949,10.0586082525,4.21523809361,1,1,1.00000005588,ok,
44,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22877.5195312,-672.868221507,11.827719714,5.13287330448,1,1,1.00000003539,ok,
45,polar1m,polar-1-m,polar,cuda,float32,40,H27O13,-27034.171875,-675.854296875,8.31175497137,3.89194855723,1,1,0.999999988824,ok,
46,polar1m,polar-1-m,polar,cuda,float32,54,H36O18,-37419.8164062,-692.959563079,7.80124470694,3.48140342881,0,0,2.98023223877e-08,ok,
47,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24955.9355469,-674.48474451,8.60277592581,4.14256238459,1,1,0.999999988824,ok,
48,polar1m,polar-1-m,polar,cuda,float32,46,H31O15,-31196.53125,-678.185461957,8.1620090255,3.84342159164,1,1,1.00000004657,ok,
49,polar1m,polar-1-m,polar,cuda,float32,56,H38O18,-37441.1757812,-668.592424665,6.80615898585,3.70895196473,2,2,2.00000002794,ok,
50,polar1m,polar-1-m,polar,cuda,float32,24,H16O8,-16634.9355469,-693.122314453,6.81526247366,3.12658728513,0,0,-5.02914190292e-08,ok,
51,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22871.3789062,-693.072088068,7.80063380735,4.03425440444,0,0,-9.31322574615e-09,ok,
52,polar1m,polar-1-m,polar,cuda,float32,45,H30O15,-31190.6875,-693.126388889,7.0779282768,3.1491430793,0,0,4.842877388e-08,ok,
53,polar1m,polar-1-m,polar,cuda,float32,42,H28O14,-29110.140625,-693.09858631,8.59258438258,3.44185686436,0,0,1.26659870148e-07,ok,
54,polar1m,polar-1-m,polar,cuda,float32,33,H22O11,-22870.4726562,-693.044625947,7.22237471007,3.80713807804,0,0,3.72529029846e-08,ok,
55,polar1m,polar-1-m,polar,cuda,float32,22,H15O7,-14563.8808594,-661.994584517,9.48108266822,3.61742629851,1,1,1.00000003166,ok,
56,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22880.2851562,-672.949563419,11.1086504309,4.58640738488,1,1,0.999999953434,ok,
57,polar1m,polar-1-m,polar,cuda,float32,49,H33O16,-33276.3125,-679.108418367,6.63944870379,3.39903215534,1,1,0.999999992549,ok,
58,polar1m,polar-1-m,polar,cuda,float32,46,H31O15,-31195.3222656,-678.159179688,7.8949450761,4.1821619427,1,1,0.999999973923,ok,
59,polar1m,polar-1-m,polar,cuda,float32,46,H31O15,-31194.6855469,-678.145337976,10.445966907,4.08189209984,1,1,1.00000000931,ok,
60,polar1m,polar-1-m,polar,cuda,float32,40,H27O13,-27035.9003906,-675.897509766,10.1484624771,4.0913730449,1,1,1.00000007823,ok,
61,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22881.7304688,-672.99207261,6.92758048477,3.51731451081,1,1,1.00000002608,ok,
62,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20799.9023438,-670.964591734,17.9798771107,6.44331549148,1,1,0.999999990687,ok,
63,polar1m,polar-1-m,polar,cuda,float32,40,H27O13,-27039.1601562,-675.979003906,7.01726890183,3.39989853923,1,1,0.999999983236,ok,
64,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24960.375,-674.60472973,8.01463050877,3.52336321449,1,1,0.999999996275,ok,
65,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18722.2382812,-668.651367188,12.7239666991,5.37977779048,1,1,0.999999944121,ok,
66,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18721.4863281,-668.624511719,14.0403833084,5.41447975632,1,1,0.999999983236,ok,
67,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22879.375,-672.922794118,12.8897220896,4.23572094751,1,1,0.99999996461,ok,
68,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22879.421875,-672.924172794,6.71835149691,3.4974021943,1,1,1.00000003166,ok,
69,polar1m,polar-1-m,polar,cuda,float32,46,H31O15,-31194.5273438,-678.141898777,12.9905274073,4.11094519397,1,1,1.00000000559,ok,
70,polar1m,polar-1-m,polar,cuda,float32,30,H20O10,-20789.4980469,-692.983268229,10.4340403863,4.44022267568,0,0,2.98023223877e-08,ok,
71,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22878.3984375,-672.894071691,7.69376953329,4.0556213958,1,1,0.99999997206,ok,
72,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20800.2382812,-670.975428427,8.54011358871,4.10161084759,1,1,1.00000000745,ok,
73,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18722.5332031,-668.661900112,9.03697775757,3.95547326249,1,1,0.999999977648,ok,
74,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18724.7265625,-668.740234375,7.50988184251,3.73201793366,1,1,0.999999985099,ok,
75,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20803.3085938,-671.074470766,9.84331895502,4.20456102665,1,1,0.999999947846,ok,
76,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22882.4003906,-673.011776195,5.92180791775,2.8136397786,1,1,1.00000005402,ok,
77,polar1m,polar-1-m,polar,cuda,float32,40,H27O13,-27037.546875,-675.938671875,8.24174786757,4.15001572621,1,1,0.999999977648,ok,
78,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22879.8964844,-672.938131893,8.15398764027,4.07339098041,1,1,1.00000001304,ok,
79,polar1m,polar-1-m,polar,cuda,float32,40,H27O13,-27038.5644531,-675.964111328,8.86338206552,4.60184983804,1,1,0.999999955297,ok,
80,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22878.7167969,-672.903435202,10.1872341294,4.22563486891,1,1,1.00000001676,ok,
81,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22879.3496094,-672.922047335,8.06050236809,3.93301740205,1,1,0.999999977648,ok,
82,polar1m,polar-1-m,polar,cuda,float32,55,H37O18,-37436.09375,-680.65625,9.72713769803,3.54293445718,1,1,1.00000006892,ok,
83,polar1m,polar-1-m,polar,cuda,float32,61,H41O20,-41591.7382812,-681.831775102,10.7985444336,4.38019109998,1,1,0.999999979511,ok,
84,polar1m,polar-1-m,polar,cuda,float32,43,H29O14,-29117.859375,-677.159520349,7.61488761981,3.77478263304,1,1,0.999999986961,ok,
85,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24957.7949219,-674.534997889,12.4509342623,4.16902880116,1,1,1.00000006333,ok,
86,polar1m,polar-1-m,polar,cuda,float32,40,H27O13,-27037.4257812,-675.935644531,8.51285544178,4.05835068301,1,1,1.00000005215,ok,
87,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18720.9257812,-668.604492188,7.0576038482,3.33044165804,1,1,0.999999994412,ok,
88,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24957.6679688,-674.531566723,6.494242674,3.36081196029,1,1,1.00000007078,ok,
89,polar1m,polar-1-m,polar,cuda,float32,43,H29O14,-29115.3789062,-677.101835029,7.51076776754,3.43134512357,1,1,1.00000000745,ok,
90,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20803.6933594,-671.08688256,6.05503288636,3.09396646376,1,1,0.999999966472,ok,
91,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20803.2519531,-671.072643649,8.09758192983,3.76782958116,1,1,1.00000005402,ok,
92,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18725.0820312,-668.752929688,6.30219505852,3.08985041011,1,1,1.00000000186,ok,
93,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20803.2441406,-671.072391633,7.49139434066,3.54322044385,1,1,1.00000003166,ok,
94,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22880.6816406,-672.961224724,14.5672888474,4.20369907299,1,1,0.999999973923,ok,
95,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22881.5527344,-672.986845129,6.65222492861,2.99178589815,1,1,1.00000001304,ok,
96,polar1m,polar-1-m,polar,cuda,float32,37,H25O12,-24962.4335938,-674.660367399,4.97003612136,2.91136102215,1,1,0.999999975786,ok,
97,polar1m,polar-1-m,polar,cuda,float32,40,H27O13,-27041.234375,-676.030859375,5.9659691735,2.86396770616,1,1,1.00000002421,ok,
98,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18720.0332031,-668.572614397,11.1465177494,4.28091265395,1,1,0.99999997206,ok,
99,polar1m,polar-1-m,polar,cuda,float32,31,H21O10,-20800.7851562,-670.993069556,6.09591484921,3.31905335204,1,1,1.00000000373,ok,
100,polar1m,polar-1-m,polar,cuda,float32,44,H29O15,-31175.1953125,-708.527166193,11.3967809891,3.82472916842,-1,-1,-1.00000003912,ok,
101,polar1m,polar-1-m,polar,cuda,float32,44,H29O15,-31173.3457031,-708.485129616,10.4746263868,3.54283204677,-1,-1,-1.00000002235,ok,
102,polar1m,polar-1-m,polar,cuda,float32,44,H29O15,-31171.3164062,-708.439009233,7.2175591861,3.89628274404,-1,-1,-1.00000011176,ok,
103,polar1m,polar-1-m,polar,cuda,float32,53,H35O18,-37413.3242188,-705.911777712,14.0196940608,3.95645181877,-1,-1,-1.00000003353,ok,
104,polar1m,polar-1-m,polar,cuda,float32,42,H28O14,-29108.6132812,-693.062220982,8.53809883583,4.19491922654,0,0,-2.98023223877e-08,ok,
105,polar1m,polar-1-m,polar,cuda,float32,50,H33O17,-35332.34375,-706.646875,11.5347973388,4.05625345411,-1,-1,-0.999999998137,ok,
106,polar1m,polar-1-m,polar,cuda,float32,44,H29O15,-31173.7792969,-708.49498402,8.49180728333,3.45956129369,-1,-1,-0.999999914318,ok,
107,polar1m,polar-1-m,polar,cuda,float32,38,H25O13,-27012.9316406,-710.866622122,6.48260455201,3.3474643849,-1,-1,-0.999999968335,ok,
108,polar1m,polar-1-m,polar,cuda,float32,50,H33O17,-35331.3359375,-706.62671875,7.10049964747,3.24501007586,-1,-1,-0.999999977648,ok,
109,polar1m,polar-1-m,polar,cuda,float32,36,H24O12,-24948.2480469,-693.006890191,7.31453386084,3.69817948619,0,0,3.16649675369e-08,ok,
110,polar1m,polar-1-m,polar,cuda,float32,22,H15O7,-14563.5810547,-661.980957031,5.96374139779,3.48282002649,1,1,0.999999996275,ok,
111,polar1m,polar-1-m,polar,cuda,float32,28,H19O9,-18722.1796875,-668.649274554,7.65551468007,3.93853182449,1,1,0.999999945983,ok,
112,polar1m,polar-1-m,polar,cuda,float32,34,H23O11,-22882.4667969,-673.01372932,6.80951460243,3.91673403829,1,1,0.999999960884,ok,
